Time_s,Tink_temp,Tqe,N,Gear,Vxx,TCOOL,Qa,P_int,P_ext,N_t,VVT_ex_crk,VVT_in_crk,Ign_angle_crk,VSP,CO,CO2,Nox,HC
7.6,42.862104,0.351942,757.0,0,4.52,84.0,60.299152,297.0,0.46377800000002,4684.269353,0.0,0.06,0.0,0.020666257038990176,22.3775789106291,317.667373384246,74.606426,4080.03231225755
7.7,42.862104,0.335471,757.0,0,4.52,84.0,60.299152,297.0,2.709286,4629.904392,0.0,0.06,0.0,0.019699069491925018,22.2203604145337,316.061777542187,74.427485,4067.59525681
7.8,42.862104,0.333199,748.5,0,4.54,84.0,60.489906,298.0,0.0,4629.641759,0.0,0.1,1.875,0.01934596258374627,22.1772559381935,314.074384878062,74.884338,4062.97755758458
7.9,42.862104,0.327519,748.5,0,4.54,84.0,60.489906,297.0,0.253672,4633.843882,0.0,0.1,1.875,0.019016174476712097,22.1887675880138,313.545171479183,75.154688,4048.62379461249
8.0,42.862104,0.346262,748.5,0,4.54,84.0,60.489906,297.0,2.006744,4630.167025,0.0,0.1,1.875,0.02010441716863841,22.1905232950863,312.867840141681,75.217019,4078.52851477743
8.1,42.862104,0.346262,748.5,0,4.52,84.0,60.299152,298.0,2.006744,4630.167025,0.0,0.08,1.875,0.02010441716863841,22.2859628322715,313.517847362148,75.099542,4039.27804236565
8.2,42.862104,0.319,748.5,0,4.53,84.0,60.489906,298.0,1.898408,4623.075943,0.0,0.06,1.875,0.018521550377447293,22.1486848465461,311.807388465609,75.126198,3940.91391623335
8.3,42.862104,0.319,748.5,0,4.53,84.0,60.489906,298.0,1.898408,4623.075943,0.0,0.06,1.875,0.018521550377447293,22.2465806284423,311.777326662835,75.173023,3922.8381638633
8.4,42.862104,0.343612,750.75,0,4.53,84.0,60.489906,298.0,0.690299,4636.732841,0.0,0.12,1.5,0.020010526367040395,22.2858091397985,312.059260551138,75.010863,3922.35325776031
8.5,42.862104,0.335092,750.75,0,4.53,84.0,60.489906,298.0,0.57868,4629.379127,0.0,0.12,1.5,0.019514357185966443,22.2696611113372,312.018355529838,75.143728,3909.8941246053
8.6,42.864153,0.339257,733.0,0,4.57,84.0,60.998581,299.0,2.771661,4631.480188,0.0,0.12,6.0,0.019289796298228214,22.0247569600797,307.825463686237,74.711704,3898.6642357225
8.7,42.864153,0.339257,752.25,0,4.59,84.0,61.401283,300.0,2.77166099999996,4631.480188,0.0,0.08,0.75,0.019796383718065722,22.6961398642938,319.203985698418,74.592676,3887.69351375124
8.8,42.864153,0.340204,752.25,0,4.59,84.0,61.401283,300.0,0.467061,4597.337942,0.0,0.08,0.75,0.019851643227467176,22.6323600588304,319.471273876951,74.416948,3890.35629548107
8.9,42.864153,0.334146,742.0,0,4.54,84.0,60.807827,300.0,2.364581,4607.843248,0.0,0.08,2.625,0.019232468127634565,22.003631499532,313.397385067208,74.146658,3898.97156065042
9.0,42.864153,0.338311,750.0,0,4.55,84.0,60.807827,299.0,0.591811,4638.046005,0.0,0.12,1.5,0.019682136152381787,22.0140964692221,315.203819699801,73.881347,3930.94478239769
9.1,42.864153,0.33301,752.5,0,4.51,84.0,60.299152,299.0,2.456502,4581.579982,0.0,0.12,1.125,0.019438315595132902,21.7628497919337,314.826008377706,74.097096,3966.80754852466
9.2,42.864153,0.3304281818,752.5,0,4.51,84.0,60.299152,299.0,0.421100181818175,4629.570132,0.0,0.12,1.125,0.019287610820558992,22.0554069088614,314.849373400616,74.1888523636364,3998.23855003733
9.3,42.864153,0.333578,752.5,0,4.51,84.0,60.299152,298.0,2.423673,4611.520106,0.0,0.12,1.125,0.019471470645305675,21.0576977474679,312.223534773905,74.52764,4014.89321879139
9.4,42.864153,0.360273,752.5,0,4.51,84.0,60.299152,298.0,0.0,4601.802697,0.0,0.12,1.125,0.021029699631858852,21.5553286127214,312.211084992977,74.959955,4025.99972332311
9.5,42.864153,0.354025,747.75,0,4.53,84.0,60.489906,298.0,0.017303,4613.621167,0.0,0.1,1.875,0.020534550595732688,20.8859426046666,315.237707110472,75.115764,4042.50815255949
9.6,42.880292,0.354025,746.25,0,4.52,84.0,60.19318,298.0,0.0173030000000332,4613.621167,0.0,0.1,2.25,0.020493357916503536,20.9265341880492,315.36796367867,75.183359,4048.63775418868
9.7,42.880292,0.355729,746.25,0,4.52,84.0,60.19318,298.0,1.88527699999998,4594.448983,0.0,0.1,2.25,0.020591996944509246,20.9870774420283,314.817133267649,75.319387,4057.93498914037
9.8,42.880292,0.358569,746.25,0,4.52,83.25,60.19318,298.0,0.975911,4565.296757,0.0,0.1,2.25,0.02075639532451877,21.0150644337492,313.265708364101,75.492201,4062.57883938857
9.9,42.880292,0.334524,746.25,0,4.52,83.25,60.19318,298.0,1.639059,4597.863207,0.0,0.1,2.25,0.019364508336022677,20.952326750319,313.178358766141,75.176976,4065.87238030023
10.0,42.880292,0.358947,749.25,0,4.53,83.25,60.489906,299.0,3.122932,4568.710982,0.0,0.08,1.5,0.020861807277219768,21.3147333879847,316.42646267376,75.206955,4055.41123655902
10.1,42.880292,0.358947,749.5,0,4.52,83.25,60.299152,298.0,3.12293199999993,4568.710982,0.0,0.12,1.5,0.020868768173875493,21.2111503449386,314.351231393092,74.921186,4011.73033284648
10.2,42.880292,0.357433,749.5,0,4.52,83.25,60.299152,298.0,0.0,4582.105247,0.0,0.12,1.49999999999999,0.02078074594492457,21.1974506093465,312.281904830467,74.61753,4063.33422438728
10.3,42.880292,0.393594,752.0,0,4.55,83.25,60.807827,298.0,2.689589,4582.36788,0.0,0.1,1.125,0.022959433042236046,21.2963158639116,315.297985695632,74.375535,4047.41811937662
10.4,42.880292,1.408569,752.0,0,4.55,83.25,60.807827,298.0,0.0,4583.943676,0.0,0.1,1.125,0.08216574856544913,21.3048028195292,315.389442383293,74.14167,4015.41657471751
10.5,42.880292,0.23475,749.0,0,4.51,83.25,60.299152,298.0,2.246396,4578.42839,0.0,0.06,1.875,0.013638991794993156,20.9481419202299,311.412246503074,74.00965,4010.48419435938
10.6,42.857611,0.285868,743.5,0,4.55,83.25,60.807827,299.0,0.0,4531.679776,0.0,0.1,3.0,0.016486989660883425,21.0193107338129,315.49987005948,73.98176,3969.14629532135
10.7,42.857611,0.332442,743.5,0,4.55,83.25,60.807827,303.0,0.325896000000014,4521.699735,0.0,0.1,3.0,0.01917307224608353,20.677391702023,313.21068909008,73.796076,3945.48722381236
