Time_s,Tink_temp,Tqe,N,Gear,Vxx,TCOOL,Qa,P_int,P_ext,N_t,VVT_ex_crk,VVT_in_crk,Ign_angle_crk,VSP,CO,CO2,Nox,HC
728.1,27.125493,51.5113137,2292.0,2,6.54,74.25,92.896729,353.0,22.0616942,,0.0,0.24,-1.125,9.15824143913059,63.8097949752729,1323.89426903559,1670.8403626,4673.10918263044
728.2,27.125493,41.9150208,2292.0,2,6.54,74.25,92.896729,353.0,29.6668763000251,,0.0,0.24,-1.125,7.452108145566098,61.6995353383021,1320.71426484259,1441.13427879981,5490.81499007122
728.3,27.125493,17.775581,2292.0,2,6.54,74.25,92.896729,353.0,51.739501,,0.0,0.24,-1.125,3.1603360664983846,59.2013974039229,1317.28890274432,1192.78188289979,6355.45369345508
728.4,27.125493,27.2127464,2174.025,2,8.934,74.25,126.7681096,407.600000000145,74.4861073000603,,0.0,0.27000000000008,-3.48750000000627,4.589144765405103,73.8794959059868,1794.25719744256,970.180918399911,7121.96634364145
728.5,27.125493,64.4790201,1898.75,3,14.52,74.25,205.801331,535.0,138.125259999988,,0.0,0.34,-9.0,9.496882508843292,108.023725286569,2872.20528204953,901.20756989999,7677.28929140358
728.6,27.125493,101.9316113,1898.225,3,16.614,74.25,235.1709353,679.0,169.9517304,,0.222,3.61,-2.025,15.008988601043328,100.879164096032,3175.58533865859,1013.7521965,7939.04251255634
728.7,27.0410142,103.6561038,1897.0,3,21.5,74.25,303.700012,1015.0,191.155371600012,,0.74,11.24,14.25,15.253062894154729,102.399822678143,3801.17334294499,1382.54785810041,7878.81597724112
728.8,26.843897,96.465596,1897.0,3,21.5,74.25,303.700012,1015.0,203.129447400004,,0.74,11.24,14.25,14.194975008409694,81.9979750770757,3826.6796009163,1900.79295110041,7605.75166602856
728.9,26.843897,93.4507885,1897.0,3,21.5,74.25,303.700012,1015.0,212.345881700015,,0.74,11.24,14.25,13.751344129711072,67.029561873491,3852.41283121184,2389.54105310033,7210.22406814311
729.0,26.843897,92.7792872,1897.0,3,21.5,74.25,303.700012,1015.0,245.888002899977,,0.74,11.24,14.25,13.652532277953947,50.6661233961668,3871.18050219454,2783.74553819989,6776.67770288391
729.1,26.843897,95.059302,1900.3,3,22.574,74.25,319.1510101,1051.0,294.018052,,10.9760003,18.1579997,13.9125,14.012371368808278,44.3007062566928,4267.17364891912,3096.5970288,6372.35522396664
729.2,26.843897,96.3872343,1908.0,3,25.08,74.25,355.203339,1135.0,296.240908900006,,34.860001,34.299999,13.125,14.265688569214278,59.2390135623913,5338.72402163293,3368.33349680023,6028.16238903248
729.3,26.843897,101.6186146,1908.0,3,25.08,74.25,355.203339,1135.0,310.670601400024,,34.860001,34.299999,13.125,15.039953363602331,86.0203536092882,5309.09805195452,3649.0669107002,5743.53794584468
729.4,26.843897,106.9471775,1908.0,3,25.08,74.25,355.203339,1135.0,328.828035499991,,34.860001,34.299999,13.125,15.828601563801486,42.1893151245395,5314.45081786631,3859.15785900009,5465.16278554187
729.5,26.843897,107.6288079,1908.0,3,25.08,74.25,355.203339,1135.0,320.8564799,,34.860001,34.299999,13.125,15.929485535380582,0.0,5320.13959041133,3966.48371229997,5190.87433751826
